,activity_name,description,url,image,image2,available_days,available_times,duration,latitude,longitude,address,price,currency,category
0,Free tour por el Barrio Latino,"En este free tour por el Barrio Latino descubriremos un icónico distrito de París, famoso por su ambiente bohemio y estudiantil. ¡No os lo podéis perder!",www.civitatis.com/es/paris/visita-guiada-barrio-latino/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/visita-guiada-barrio-latino-list.jpg,"['10', '11', '09', '12']","[['10:30', '15:30'], ['10:30', '15:30'], ['10:30', '15:30'], ['10:30', '15:30']]",2h 15m -2h 30m,48.8532095,2.3435221,"9, Place Saint-Michel, Quartier de la Monnaie, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France",2.5,EUR,Español
1,Tour privado por París,"Montmartre, Notre Dame o los Campos Elíseos son algunos de los lugares que podréis recorrer en este tour privado por París. ¡Una ruta en exclusiva!",www.civitatis.com/es/paris/tour-privado-paris/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-privado-paris-list.jpg,"['11', '12', '09', '10']","[['9:00', '10:00', '14:00', '16:00'], ['9:00', '10:00', '14:00', '16:00'], ['9:00', '10:00', '14:00', '16:00'], ['9:00', '10:00', '14:00', '16:00']]",2 -4h,0.0,0.0,,34.0,EUR,Español
2,Entrada a la Sainte-Chapelle y Conciergerie,Con esta entrada combinada a la Conciergerie y la Sainte-Chapelle podréis visitar dos de los monumentos más destacados de la isla de la Cité en un mismo día.,www.civitatis.com/es/paris/entrada-conciergerie-sainte-chapelle/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-conciergerie-sainte-chapelle-list.jpg,"['11', '12', '10', '09']","[[], [], [], []]",Entradas,48.855639,2.345388,"Cour du Mai, Quartier Saint-Germain-l'Auxerrois, Paris 1er Arrondissement, Paris, Île-de-France, France métropolitaine, 75001, France",5.15,EUR,
3,"Cena en Madame Brasserie, el restaurante de la Torre Eiffel","Si buscáis una velada inolvidable, esta cena en Madame Brasserie es ideal. Veréis París iluminado desde el restaurante de la primera planta de la Torre Eiffel.",www.civitatis.com/es/paris/cena-restaurante-torre-eiffel/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/cena-restaurante-torre-eiffel-list.jpg,"['12', '10', '11', '09']","[['21:00'], ['21:00'], ['21:00'], ['21:00']]",2 horas,48.858537,2.293964,"Tour Eiffel, Quai Jacques Chirac, Quartier du Gros-Caillou, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",11.77,EUR,Gastronomía y enoturismo
4,Excursión a los Castillos del Loira,"Si estáis buscando una preciosa excursión desde París, no os podéis perder esta ruta por los Castillos del Loira. ¡Viajaremos a Chenonceau, Chambord y Cheverny!",www.civitatis.com/es/paris/excursion-castillos-loira/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/excursion-castillos-loira-list.jpg,['12'],[['7:00']],12h 30m,48.831234,2.387336,"15, Avenue des Terroirs de France, Quartier de Bercy, Paris 12e Arrondissement, Paris, Île-de-France, France métropolitaine, 75012, France",37.0,EUR,Español
5,"Tour nocturno en autobús descapotable, Big Bus","En este tour nocturno en autobús descapotable de Big Bus por París contemplaréis la iluminación de la capital francesa, conocida como la Ciudad de la Luz.",www.civitatis.com/es/paris/tour-noctuno-autobus/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-noctuno-autobus-list.jpg,"['11', '09', '10', '12']","[['20:15'], ['20:15'], ['20:15'], ['20:15']]",2 horas,48.87351783682382,2.295858006507501,"Avenue des Champs-Élysées, Quartier des Champs-Élysées, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",11.55,EUR,Español
6,Entrada al Panteón de París,"Víctor Hugo, Voltaire, Alejandro Dumas y otras personalidades reposan en el Panteón de París. Descubrid esta joya monumental situada en el Barrio Latino.",www.civitatis.com/es/paris/entrada-panteon/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-panteon-list.jpg,"['11', '12', '10', '09']","[[], [], [], []]",Entradas,48.846326,2.344992,"Université Paris II Panthéon-Assas, 12, Place du Panthéon, Quartier de la Sorbonne, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France",4.9,EUR,
7,Free tour de los misterios y leyendas de París,La capital francesa fue escenario de asesinatos y guerras. Descubriremos las historias más sorprendentes en este free tour de los misterios y leyendas de París.,www.civitatis.com/es/paris/tour-misterios-leyendas-paris/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-misterios-leyendas-paris-list.jpg,"['12', '09', '11', '10']","[['19:00'], ['19:00'], ['19:00'], ['19:00']]",2h -2h 15m,48.855192,2.3471328,"1, Place Louis Lépine, Quartier Les Îles, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France",2.5,EUR,Español
8,"Tour por París, paseo en barco y Torre Eiffel","Esta actividad incluye un tour panorámico por París, un crucero por el Sena y la Torre Eiffel. Ideal para descubrir la capital desde todos los puntos de vista.",www.civitatis.com/es/paris/tour-paris-crucero-torre-eiffel/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/tour-paris-crucero-torre-eiffel-list.jpg,"['09', '11', '12', '10']","[['10:15', '12:15', '12:45', '14:15', '14:45', '15:15', '17:15', '18:15'], ['10:15', '12:15', '12:45', '13:15', '13:45', '14:15', '15:15', '15:45', '16:15', '16:45', '17:15'], ['12:15', '13:45', '15:45'], ['10:15', '12:15', '12:45', '13:15', '13:45', '14:45', '15:15', '16:15', '16:45', '18:15']]",5 horas,48.856132,2.292921,"Centre Sportif Émile Anthoine, 9, Rue Jean Rey, Quartier de Grenelle, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France",19.8,EUR,Español
9,Entrada a Aura Invalides,¿Buscando planes diferentes en París? Con esta entrada a Aura Invalides disfrutaréis de una inolvidable experiencia inmersiva bajo la Cúpula de los Inválidos.,www.civitatis.com/es/paris/entrada-aura-invalides/,"www.civitatis.comdata:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",www.civitatis.com/f/francia/paris/entrada-aura-invalides-list.jpg,"['12', '09']","[['18:55', '20:15'], ['18:55', '20:15']]",50 minutos,48.853679,2.312334,"Place Vauban, Quartier de l'École Militaire, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France",4.8,EUR,Espectáculos
